ID,text
162,RT @TheSun: Desperate patients face two-day wait to see doctor as China accused of bullying world to downplay crisis https://t.co/JNGKGZCYJ4
163,RT @CrepeaultSr: BREAKING: DOJ Rules Comey’s FBI Had ‘Insufficient Predication To Establish Probable Cause’ In FISA Scandal https://t.co/yz…
164,"RT @8NewsNow: Saturday night's benefit show was a huge success for Las Vegas performers ""Human Nature."" The Australian group raised about $…"
165,"RT @Upyourjunker1: Planes to be deployed to stop migrants heading to Britain across the North Sea under new EU plans.

https://t.co/8xSSdFS…"
166,"@SaharaReporters If this news is genuine, then we're all hypocrite after all. Dat minz her location wasn't hidden all this while"
167,"RT @Koreaboo: TWICE’s Chaeyoung Warns Nayeon’s Stalker After He Leaks Her Phone Number

https://t.co/ZZS448eQ12"
168,Brazil: 30 killed in flooding and landslides after two days of torrential rain | World News | Sky News https://t.co/vOwr4Bqv9e
169,"RT @DublinLive: Dublin City Council forced to fine itself over €450,000 in Vacant Site Levies https://t.co/PZ8xythwGj"
170,RT @gtconway3d: Again with “liddle’” with the meaningless apostrophe.  Talk about dumb as a rock.
171,"RT @HawleyMO: I have drafted motions to subpoena Adam Schiff, the “whistleblower,” Hunter Biden, and Joe Biden to testify. If the Senate ca…"
172,RT @dijoni: The black Americans suing to reclaim their Native American identity | US news | The Guardian https://t.co/wj52q6w9pP
173,"RT @ThKhabri: Breaking News!

#RashamiDesai fans started Trending "" Queen Of Hearts Rashami ""

They are very angry after watching the lates…"
174,"RT @Koreaboo: TWICE’s Chaeyoung Warns Nayeon’s Stalker After He Leaks Her Phone Number

https://t.co/ZZS448eQ12"
175,RT @hey_eunwoo: This horrible week is at least coming to an end. Wonder wht this new week will bring for #SidNaaz. I hope its good news sta…
176,"RT @dhruv_rathee: Few facts about Bolsonaro 

Chief guest of #RepublicDay2020 

👉He’s responsible for destroying Amazon rainforest
👉Openly…"
177,"PRRD: @rapplerdotcom 
- is garbage
- not paid correct taxes
- funded by AMERICAN CIA
- partly owned by AMERICANS..… https://t.co/fpW6RnuYl3"
178,"RT @SethAbramson: PS5/ By the way, the last time either diGenova or Toensing was on Fox News? The day before Lev Parnas' arrest. If you thi…"
179,"RT @Aporna15: Look at this news guys.
Got it from Instagram
#OurPrideSid 
@OfficialSidFC @TeamSidharthFC @Siddians @ChetanaBB_fan https://t…"
180,"RT @Shahrcasm: Jawaharlal Nehru Who Partitioned India To Become PM, Planned Arrest Of Netaji Subhash Chandra Bose To Remove From His Way, G…"
181,RT @hollyotterbein: “The senior U.S. senator from Massachusetts is not the radical some perceive her to be. She was a registered Republican…
182,RT @XXL: Juice Wrld is one of the two people @Eminem dedicated his new album to 🕊 https://t.co/tADUxwLZ3D
183,"RT @NerdKid_94: Bats once made Malaysia famous sebab NIPAH virus.
(https://t.co/DYsPIof0Os)

Jadi kat Kampung Sungai Nipah
(https://t.co/DB…"
184,"RT @dochelmy: Pfft. Big deal. 

#Malaysia has come up with 6000 new public health experts overnight. And as a bonus, they’re all available…"
185,"RT @chiarazambrano: Remember when we witnessed the massive destruction of Scarborough Shoal by fleets of Chinese giant clam diggers? 

The…"
186,"@JohnRBielski Avenatti was a very loud critic
https://t.co/uVPLRMiDCF"
187,"RT @phbarratt: Bridget McKenzie buys $2 million house as second Melbourne investment property

Will be interesting to see whether her decla…"
188,"RT @TribalArmy: Few facts about @jairbolsonaro 

1. He’s responsible for destroying Amazon rainforest.

2. Openly racist,Anti-women, anti-t…"
189,RT @AGHamilton29: This hatred is a sickness. An 8 y o child disappears and found drowned after extensive searching throughout the night by…
190,RT @clementine_ford: Brilliant reporting here from @ninafunnell on Arndt Bettina. “Australia Day” Honours are nonsense and her OAM sits wel…
191,"RT @neekhilpareek: ! Confirm News !

When salman said #asim and shukla to come out and fight were asim said no due to respect

IMP :-salman…"
192,"RT @Koreaboo: TWICE’s Chaeyoung Warns Nayeon’s Stalker After He Leaks Her Phone Number

https://t.co/ZZS448eQ12"
