ID,text
218,"Morning, Sounds like a good valentine indeed 💚 I’ve just read that you are working on a health campaign with Bite B… https://t.co/tOXOCPv1gY"
219,RT @Azpapip: This patients are treated in Hospital Sungai Buloh as Infectious Disease Centre In Malaysia with strict ID monitoring &amp; contag…
220,There are multiple reports of doctors at Chinese hospitals catching the #coronavirus after treating the infected pa… https://t.co/KtmbYXFfnR
221,"RT @dats: Updates on China's coronavirus:
- There are now 2,000 confirmed cases worldwide
- 56 people have died in China, including 4 outsi…"
222,RT @theserfstv: Coronavirus coverage leads to fear which leads to more more people clicking on news articles which leads to profit which le…
223,RT @ferrisjabr: The viral thread quoted below is missing essential context and contains numerous errors. It does not reflect the latest evi…
224,RT @Unkle_K: This is how the coronavirus started
225,"RT @okikaguslut: hi, public health student chiming in with some friendly reminders during this coronavirus outbreak

- WASH YOUR FUCKING HA…"
226,"RT @BeachMilk: Bill Gates ‘predicted’ Chinese coronavirus a year ago with simulation saying 33 MILLION could die in first six months.

A co…"
227,RT @hanzyboii: Why do I feel like he's gonna turn into a zombie
228,RT @CuntyGowon: Omg keep streaming guys ✨
229,RT @CuntyGowon: Omg keep streaming guys ✨
230,"RT @LagosWaste: Protect yourself &amp; others from getting sick.
A newly identified coronavirus has been spreading in China, and has now reache…"
231,"RT @DrOlufunmilayo: The deadly coronavirus is now in 15 countries:

China
United States
France
Japan
South Korea
Taiwan
Singapore
Thailand…"
232,RT @fiqsyhmie: To all those Chinese fuckers who started coronavirus.
233,"Why does it sound like the beginning of the apocalypse????!! Hue, scary! Pray for Wuhan everyone 🙏"
234,"RT @astroehlein: Weeks ago, China arrested 8 people for spreading ""hoaxes"" about what is now known as #coronavirus. 

How much time was los…"
235,"RT @ISCResearch: Heartbreaking scenes from #Wuhan 

#China 2020: A man infected with the #WuhanCoronovirus tried to escape but security for…"
236,"RT @tashortyy: This new coronavirus outbreak has come to a similar circumstances of a Korean movie, The Flu (2013). You can watch the movie…"
237,"RT @MuhammadLila: Liang Wudong, a surgeon who was treating patients in Wuhan, just become the first doctor to die from the new Coronavirus.…"
238,"RT @MD_Hafidz: Do you know, if the person take panadol/paracetamol earlier in flight, the temperature of the person will reduce to normal l…"
239,"RT @jjkmaryy: How to wear mask , pls share this so that many people can learn the correct way 
#coronavirus #CoronaOutbreak #CoronavirusOut…"
240,"RT @ArifJemali: Coronavirus might comes from snake (Source :WHO)

This virus shows that how Islam literally take care what do we eat. What…"
241,RT @hanzyboii: Why do I feel like he's gonna turn into a zombie
242,"RT @RamliRizal: What is the difference between an Ordinary Thief (OT) and a Political  Thief (PT) ?
The *Ordinary Thief* steals your money,…"
243,RT @hanzyboii: Why do I feel like he's gonna turn into a zombie
244,"@nautaadaustrum @Cami_FloresO Don't worry about Coronavirus anymore.
https://t.co/wzY4WHv2I3"
245,RT @Dragonzord572: I'm not a vegan and will happily eat a nice steak. But this is sick. Both morally and health wise. Even if we raise cert…
246,RT @fedupofSuffolk: @PostalVoteProbe I certainly hadn't appreciated the extent of it and I used to help run elections till I left local gov…
247,"RT @LiveThinkGrow: Liang Wudong, just become the first doctor to die from the new Coronavirus in #China 

A reminder that while everyone el…"
248,"RT @AngelinaShen36: I live in #Wuhan. Today is the third day of the lockdown of the city. Here are some things I see 
or hear from other ci…"
249,RT @richardker: #Beijing just declared a first level emergency response. All interstate transportation services going in and out of Beijing…
